Gallery: 60 identities, Probes: 229
 threshold  precision     recall       f1      FPR
      0.45      98.2%      97.8%    98.0%    1.75%
      0.50      98.6%      95.6%    97.1%    1.31%
      0.55      99.5%      91.2%    95.2%    0.44%
      0.60     100.0%      86.9%    93.0%    0.00%
      0.65     100.0%      77.7%    87.5%    0.00%
      0.70     100.0%      62.4%    76.9%    0.00%
      0.75     100.0%      45.9%    62.9%    0.00%
      0.80     100.0%      25.3%    40.4%    0.00%
